kind	id	version	sha256	local_audit_path	release_path	public_locator	state	corpus_id	arm_id	system_id	note
source_table	py	2026-09-09	9ae7cb3e4fb6200b614a6e51e1138d5094c1d1c9bb4e429fe808adcff514b8b3	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/artifacts/V2_A1_GRAPHIFY_PY_NOSPHINX_TABLE_2026-09-09.md	source-tables/V2_A1_GRAPHIFY_PY_NOSPHINX_TABLE_2026-09-09.md	-	verified	py_nosphinx	-	-	Frozen denominator-corrected numeric source
source_table	ts	2026-09-09	7b82fd99601966cd6cc284a7ef66e50a26afcad57d754eed2a6756c113d22782	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/artifacts/V2_A1_GRAPHIFY_ts40_TABLE_2026-09-09.md	source-tables/V2_A1_GRAPHIFY_ts40_TABLE_2026-09-09.md	-	verified	ts40	-	-	Frozen denominator-corrected numeric source
source_table	go	2026-09-09	b3e2bcdce55660d55a831a71919199db292e4d1a08dc2133a9a2f184829bcf0c	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/artifacts/V2_A1_GRAPHIFY_go34_TABLE_2026-09-09.md	source-tables/V2_A1_GRAPHIFY_go34_TABLE_2026-09-09.md	-	verified	go34	-	-	Frozen denominator-corrected numeric source
source_table	rust	2026-09-09	95b3620f903a8f6ca905c14d871bf945b4d41570f85c48f2d9786c2446c5910a	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/artifacts/V2_A1_GRAPHIFY_rust43_TABLE_2026-09-09.md	source-tables/V2_A1_GRAPHIFY_rust43_TABLE_2026-09-09.md	-	verified	rust43	-	-	Frozen denominator-corrected numeric source; SWE-bench Multilingual test split
preregistration	v2	2026-09-08	02a4948c9bd3e27a4c8ef2a41c497861f6dc23e357a6cf8deea5202803d5d752	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/artifacts/V2_PREREG_2026-09-08.md	protocol/V2_PREREG_2026-09-08.md	-	verified	-	-	-	Pre-number protocol; paired uncertainty gate remains open
doctrine	benchmark-map	2026-09-09	ff5da54f1708e6bc73e26924e62dac2e27a04a5fc8cea0608b7d69b3844b4223	noodlbox-wiki/strategy/competition/EVALUATION_BENCHMARK_MAP.md	protocol/EVALUATION_BENCHMARK_MAP.md	-	verified	-	-	-	Artifact contract and must-remain-separate doctrine
doctrine	claims-language	2026-08-19	8d6ca1f3fa4ec8320a0a0f8956c6293e381c3672df09ba3fa570cd1ff36fd760	noodlbox-wiki/strategy/projects/agent-work-packet/campaign/retrieval/artifacts/m23-p4-2026-08/S7_CLAIMS_LANGUAGE_MEMO_LOCKED_2026-08-19.md	protocol/S7_CLAIMS_LANGUAGE_MEMO_LOCKED_2026-08-19.md	-	verified	-	-	-	Per-language bounded public claims language
corpus	py_nosphinx	SWE-bench-Lite	415eee3dfe11d5c4d37d5ad780027067af5acef83b2397f168b7cdabe92b8b8e	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/corpora/py_nosphinx.jsonl	corpora/py_nosphinx.jsonl	-	verified	py_nosphinx	-	-	Forty instances; frozen-gold N is 39
corpus	ts40	DataCurve-DeepSWE	64a5a12d5cdd3cff9f1b1784962132d57e44d0eb03118c160fc3fa112454618b	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/corpora/ts40.jsonl	corpora/ts40.jsonl	-	verified	ts40	-	-	Forty TypeScript or JavaScript instances; frozen-gold N is 37
corpus	go34	DataCurve-DeepSWE	3f221ceed33cd0b34cf1f71acc47e51424090b36aae62be2f2e5b89e90d2b54d	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/corpora/go34.jsonl	corpora/go34.jsonl	-	verified	go34	-	-	Thirty-four Go instances; frozen-gold N is 30
corpus	rust43	SWE-bench-Multilingual-test	32661b0c77aff0e5cdbad9e82c21be6a0ef493a7945a0923174629fc8f36ce03	noodlbox-wiki/strategy/projects/tokens-to-gold-benchmark/corpora/rust43.jsonl	corpora/rust43.jsonl	-	verified	rust43	-	-	Forty-three Rust instances; floor and nbx frozen-gold N is 40
frozen_gold	py_nosphinx	ggv=4	05033580302881b919729bdbd9b485c2b89e0531bd338f3e19acedbcebe67736	tokens-to-gold/gold/frozen_gold_py_nosphinx.json	gold/frozen_gold_py_nosphinx.json	-	verified	py_nosphinx	-	-	Reference-patch proxy and binding instance-ID set
frozen_gold	ts40	ggv=4	fcc09bd98d5e648be1c46803b72140b233599ef91e2dd945ba4b52e72d02a0e3	tokens-to-gold/gold/frozen_gold_ts40.json	gold/frozen_gold_ts40.json	-	verified	ts40	-	-	Reference-patch proxy and binding instance-ID set
frozen_gold	go34	ggv=4	bf8de741a03597d5db62b5c0dceee901799a12188fbae6b9253e9b094d422a8e	tokens-to-gold/gold/frozen_gold_go34.json	gold/frozen_gold_go34.json	-	verified	go34	-	-	Reference-patch proxy and binding instance-ID set
frozen_gold	rust43	ggv=4	7b45f6abbd8f3700fabfac37c292a91e523fae940588b44fb6565768fcb239fe	tokens-to-gold/gold/frozen_gold_rust43.json	gold/frozen_gold_rust43.json	-	verified	rust43	-	-	Reference-patch proxy and binding instance-ID set
producer	noodl-eval-native-floor	git:3723be44085ab470bad55241853276f85568291e	d02270de07b1f0d786ef49c80e71848fe57df4109a06eb5a3804cb8b68f66151	-	-	-	identity-only	-	native_floor	native	Lease-built binary identity
producer	noodl-eval-nbx-shipped	git:3723be44085ab470bad55241853276f85568291e	d02270de07b1f0d786ef49c80e71848fe57df4109a06eb5a3804cb8b68f66151	-	-	-	identity-only	-	nbx_shipped	nbx	Same lease-built binary; shipped default
producer	graphifyy-0.9.28	graphifyy==0.9.28	-	-	-	-	declared-only	-	-	graphify	Wheel and transitive dependency hashes were not captured
tokenizer	o200k_base	o200k_base	-	-	-	-	declared-only	-	-	-	One tokenizer for every ttg_wire value
run_header	py-run	2026-09-09	dcfd31dc8a622c5ae47ad6047bc741642a81c45d8def2b4c1093c86bbb748c51	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/out/provenance_header.txt	run-headers/py-provenance_header.txt	-	verified	py_nosphinx	-	-	Python run provenance header
run_header	tgr-run	2026-09-09	d879c58b337f00f1d85923021d9e9f27bc9d663f49dcffb706c8821791329ce1	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/out/provenance_header.txt	run-headers/tgr-provenance_header.txt	-	verified	-	-	-	TypeScript Go and Rust run provenance header
